FID;Waterbody Name;area_ha;setname;wbrscode;Water body Code;District;state;Basin Code;Sub Basin
850105;Ghodegaon;86.54706675;Adhalgaon;R03741;Reservoir;Ahmednagar;Maharashtra;Krishna;Bhima Upper
847562;Ghodegaon;38.44496532;Ganeshnagar;R03740;Reservoir;Jalgaon;Maharashtra;Tapi;Tapi Middle
848698;Ghoghatpur;43.35343082;Ghogadpur;R01896;Reservoir;Rajgarh;Madhya Pradesh;Ganga;Kali Sindh and others up to Confluence with Parbati
849915;Ghoghra Tank;26.04442673;Salyadih;R00223;Reservoir;Surguja;Chhattisgarh;Mahanadi;Mahanadi Middle
847754;Ghonga Dam;49.96353663;Ghonga;R03742;Reservoir;Akola;Maharashtra;Tapi;Tapi Upper
849961;Ghongha;703.43386464;Lalpur;R00946;Reservoir;Bilaspur;Chhattisgarh;Mahanadi;Mahanadi Upper
846212;Ghonshi;29.26895504;Ghonsi;R03743;Reservoir;Latur;Maharashtra;Godavari;Manjra
849711;Ghooga Dam;74.26061422;Merkiya;R07589;Reservoir;Shravasti;Uttar Pradesh;Ganga;Ghaghara
848334;Ghoora;8.57937895;Gugra Khurd;R01899;Reservoir;Sagar;Madhya Pradesh;Ganga;Yamuna Lower
850979;Ghorale;16.7612007;Asole;R03744;Reservoir;Thane;Maharashtra;West flowing rivers from Tapi to Tadri;Bhatsol and others
848328;Ghorapachhar;225.81266641;Jhiriya Kheda;R01901;Reservoir;Bhopal;Madhya Pradesh;Ganga;Yamuna Lower
846466;Ghorazari;866.65271566;Ghodazari;R00904;Reservoir;Chandrapur;Maharashtra;Godavari;Weinganga
846459;Ghordari;45.45496655;Ghordadi;R03745;Reservoir;Hingoli;Maharashtra;Godavari;Godavari Middle
849360;Ghori Reservoir;233.35698047;Babhani;R01155;Reservoir;Mirzapur;Uttar Pradesh;Ganga;Tons
850573;Ghorpadi Reservoir;9.95306159;Ghorpadi;R03755;Reservoir;Sangli;Maharashtra;Krishna;Bhima Upper
850578;Ghorvadi;26.90483256;Bhivadi;R03756;Reservoir;Pune;Maharashtra;Krishna;Bhima Upper
847759;Ghota;42.02436757;Sonkhas;R03757;Reservoir;Akola;Maharashtra;Tapi;Tapi Upper
846198;Ghoti;36.91712435;Chaparda;R03758;Reservoir;Yavatmal;Maharashtra;Godavari;Wardha
846017;Ghoti Shilwandi;23.82250945;Shilvandi;R06907;Reservoir;Ahmednagar;Maharashtra;Godavari;Godavari Upper
850993;Ghotwade;44.03025278;Ghotawade;R03759;Reservoir;Raigad;Maharashtra;West flowing rivers from Tapi to Tadri;Bhatsol and others
850019;Ghughwa;102.05057283;Biladi;R00224;Reservoir;Raipur;Chhattisgarh;Mahanadi;Mahanadi Upper
