osmid,day,exists_true_image,total_pixel_count,water_pixels,cloud_pixels,water_with_no_clouds_pixels,chl_very_low_pixels,chl_low_pixels,chl_moderate_pixels,chl_high_pixels,chl_very_high_pixels,chl_very_low_area,chl_low_area,chl_moderate_area,chl_high_area,chl_very_high_area,is_valid,total_pixel_area,mci,mci_2
596831199,2024-02-10,True,39083,31352.0,9289.0,29190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
596831199,2024-03-21,True,39083,22983.0,0.0,22983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,0.0,0.0
596831199,2024-04-30,True,39083,572.0,337.0,572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,0.0,0.0
596831199,2024-06-09,True,39083,21719.0,35563.0,4033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
596831199,2024-07-19,True,39083,874.0,39620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
596831199,2024-08-28,True,39083,0.0,39620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
613998437,2024-01-03,True,42344,43602.0,37449.0,6153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
613998437,2024-02-12,True,42344,28151.0,0.0,28151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,0.0,0.0
613998437,2024-03-23,True,42344,31567.0,0.0,31567.0,0.0,4.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,True,,20.0,2.0
613998437,2024-05-02,True,42344,26685.0,0.0,26685.0,1117.0,401.0,0.0,0.0,0.0,27925.0,10025.0,0.0,0.0,0.0,True,,4797.5,479.75
613998437,2024-06-11,True,42344,0.0,43602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
613998437,2024-07-21,True,42344,0.0,43602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
613998437,2024-08-30,True,42344,0.0,43602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
625348583,2024-01-05,True,776800,521765.0,108267.0,504371.0,32173.0,51859.0,0.0,0.0,0.0,804325.0,1296475.0,0.0,0.0,0.0,False,,339727.5,33972.75
625348583,2024-02-14,True,776800,497240.0,148719.0,419026.0,47471.0,5294.0,20.0,0.0,0.0,1186775.0,132350.0,500.0,0.0,0.0,False,,145297.5,14534.75
625348583,2024-03-25,True,776800,505685.0,38625.0,503011.0,72.0,799.0,32.0,12.0,0.0,1800.0,19975.0,800.0,300.0,0.0,True,,4535.0,473.5
625348583,2024-05-04,True,776800,57311.0,0.0,57311.0,0.0,13292.0,2361.0,16.0,0.0,0.0,332300.0,59025.0,400.0,0.0,True,,84327.5,9039.0
625348583,2024-06-13,False,776800,,,,,,,,,,,,,,False,19420000.0,,
