,Unnamed: 0,osmid,name,area,distance,water,university,centroid_long,centroid_lat,pixel_size,pixel_count,total_pixel_area
96,96,11568854,,1650786.980356797,45765.45116185974,reservoir,Amrita Vishwa Vidyapeetham,76.78892680968183,10.44086253041386,5,66328,1658200
97,97,11821216,,2126022.377663109,98422.60666741012,reservoir,Amity University,82.64731384614238,20.79972019083386,5,85542,2138550
98,98,12889052,,1392667.0384574034,54939.21943329308,reservoir,Amrita Vishwa Vidyapeetham,76.91977445081922,10.338503160156602,5,57231,1430775
99,99,15009693,Bhomra Bil,1105691.5555994331,33200.18876089666,basin,Adamas University,88.63784784798585,22.97801173159722,5,44702,1117550
100,100,16179862,Mamandur Eri,12725099.8526565,63546.89570069996,reservoir,Academy Of Maritime Education And Training,79.64760035037135,12.75153683073989,5,510143,12753575
101,101,16205360,,2005823.7796835296,76865.54014953297,reservoir,Amrita Vishwa Vidyapeetham,77.60629910177927,10.707556956395884,5,80723,2018075
102,102,16288976,Ban Sagar Lake,296463233.4957706,46613.07091481066,lake,AKS University,81.0500041553681,24.08554673406209,25,481959,301224375
103,103,22824920,Khadakwasla Reservoir,9871263.576431155,48426.05745494461,reservoir,Ajeenkya D Y Patil University,73.7315850230032,18.41489176534296,5,391416,9785400
104,104,24711461,Ukkadam Lake,1271579.575790766,4261.0014674287695,lake,Avinashilingam Institute For Home Science & Higher Education For Women,76.95504763291736,10.982485510361032,5,51039,1275975
105,105,25391800,Ambattur Lake,1606383.5542421695,14618.58495002173,reservoir,Anna University,80.14298557577911,13.106404886214507,5,64224,1605600
106,106,25394157,Red Hills Reservoir,19313309.193416577,18224.38729291485,reservoir,Anna University,80.17080194031588,13.162758807034846,5,772936,19323400
107,107,25394523,Sholavaram Lake,6148573.632628919,25446.31035174072,reservoir,Anna University,80.14304744123292,13.222146140532637,5,246155,6153875
108,108,25453624,Chembarambakkam Lake,19872359.218939323,19611.987191725497,reservoir,Anna University,80.05548059270596,13.00825408428371,5,794696,19867400
109,109,25474612,Korattur Lake,1956296.6133445145,13740.173181988972,lake,Anna University,80.18146923602292,13.123006166611198,5,78088,1952200
110,110,25474749,Retteri Lake,942920.2703123774,14809.133838194966,reservoir,Anna University,80.2119529497725,13.142758011295316,5,37849,946225
111,111,25921389,Somangalam Lake,926649.8002509004,23765.922919341745,reservoir,Anna University,80.02759974640603,12.945535373257233,5,36966,924150
112,112,28043727,Varthur Lake,1593162.4541612489,13286.539509912274,lake,Azim Premji University,77.73603657296877,12.94716564853288,5,64400,1610000
113,113,28130557,Osman Sagar,18028077.18903953,11785.775707871197,lake,Acharya Ng Ranga Agricultural University,78.29200726453907,17.378150014568536,5,713469,17836725
114,114,29894997,Kurichi Kulam,1288804.597564116,6113.885411956625,pond,Avinashilingam Institute For Home Science & Higher Education For Women,76.96361560527129,10.966412348986111,5,51765,1294125
115,115,30078793,Kovilpadagai Lake,1005506.5679596218,21304.38899904215,reservoir,Anna University,80.09702984599373,13.146892869529864,5,40270,1006750
116,116,30425149,,954297.6582992318,10303.3631635842,reservoir,Academy Of Maritime Education And Training,80.1388419711918,12.777414242499306,5,38433,960825
117,117,30425246,Agaram Lake,2714848.3419700027,15618.966322852237,reservoir,Academy Of Maritime Education And Training,80.08894995233481,12.76126274239434,5,108667,2716675
118,118,30425446,,1629213.3483748294,5570.937633091638,reservoir,Academy Of Maritime Education And Training,80.1834446950336,12.778009324730023,5,65055,1626375
