name,university,Uni Classification,State,Pin Code,Year of Formation,longitude,latitude
Sher-e-Kashmir University of Agricultural Science & Technology,sher-e-kashmir university of agricultural science & technology,State,Jammu & Kashmir,191121,1982,74.878,34.1457
Shiksha 'O' Anusandhan,shiksha 'o' anusandhan,Deemed,Odisha,751030,2007,85.7815,20.2594
Shiv Nadar University,shiv nadar university,Private,Uttar Pradesh,203207,2011,77.5283,28.5489
Shivaji University,shivaji university,State,Maharashtra,416004,1962,74.2853,16.67
Shobhit Institute Of Engineering & Technology,shobhit institute of engineering & technology,Deemed,Uttar Pradesh,250110,2006,77.7428,29.0799
Shobhit University,shobhit university,Private,Uttar Pradesh,247341,2012,77.2145,29.7507
Shoolini University of Biotechnology and Management,shoolini university of biotechnology and management,Private,Himachal Pradesh,173212,2009,76.8488,30.9325
Shree Guru Gobind Singh Tricentenary University,shree guru gobind singh tricentenary university,Private,Haryana,122505,2013,76.9037,28.4786
Shree Sankaracharya University of Sanskrit,shree sankaracharya university of sanskrit,State,Kerala,683574,1994,76.4664,10.2307
Shree Somnath Sanskrit University,shree somnath sanskrit university,State,Gujarat,362268,2005,70.5512,20.9193
Shri Jagannath Sanskrit Vishwavidyalaya,shri jagannath sanskrit vishwavidyalaya,State,Odisha,752003,1981,85.5743,19.9091
Shri Jagdish Prasad Jhabarmal Tibrewala University,shri jagdish prasad jhabarmal tibrewala university,Private,Rajasthan,333001,2009,75.317,28.1256
Shri Lal Bahadur Shastri Rashtriya Sanskrit Vidyapith,shri lal bahadur shastri rashtriya sanskrit vidyapith,Deemed,Delhi,110016,1987,77.1897,28.5494
Shri Mata Vaishno Devi University,shri mata vaishno devi university,State,Jammu & Kashmir,180004,2004,74.8768,32.6916
Shri Ramasamy Memorial University,shri ramasamy memorial university,Private,Sikkim,737102,2014,88.5912,27.3187
Shri Ramswaroop Memorial University,shri ramswaroop memorial university,Private,Uttar Pradesh,227105,2012,81.0528,26.9081
Shri Venkateshwara University,shri venkateshwara university,Private,Uttar Pradesh,244236,2010,78.3437,28.886
Shridhar University,shridhar university,Private,Rajasthan,333031,2010,75.6322,28.4065
Sidho-Kanho-Birsha University,sidho kanho birsa university,State,West Bengal,723104,2010,86.3415,23.3506
Sido Kanhu University,sido kanhu murmu university,State,Jharkhand,814101,1992,87.2242,24.2757
Sikkim- Manipal University,sikkim manipal university,Private,Sikkim,737101,1995,88.6067,27.3362
Sikkim University,sikkim university,Central,Sikkim,737102,2007,88.6012,27.3152
Singhania University,singhania university,Private,Rajasthan,333515,2008,75.9934,28.1772
Sir Padmapat Singhania University,sir padmapat singhania university,Private,Rajasthan,313601,2008,74.0256,24.6711
Smt Nathibai Damodar Thackersey Women�S,smt nathibai damodar thackersey women's university,State,Maharashtra,400020,1951,72.8279,18.9378
Solapur University,solapur university,State,Maharashtra,413255,2004,75.8069,17.7209
South Asian University,south asian university,Central,Delhi,110067,2010,77.1738,28.5424
Spicer Adventist University,spicer adventist university,Private,Maharashtra,411004,2014,73.8399,18.5106
Sri Balaji Vidyapeeth Mahatma Gandhi Medical College,sri balaji vidyapeeth mahatma gandhi medical college,Deemed,Puducherry,607402,2008,79.3706,11.4426
Sri Chandrasekharendra Saraswathi Vishwa Mahavidyalaya,sri chandrasekharendra saraswathi vishwa mahavidyalaya,Deemed,Tamil Nadu,631561,1993,79.7649,12.8736
Sri Dev Suman Uttarakhand University,sri dev suman uttarakhand university,State,Uttarakhand,249199,2011,78.4394,30.3115
Sri Devraj Urs Academy Of Higher Education And Research,sri devraj urs academy of higher education and research,Deemed,Karnataka,563101,2007,78.1166,13.1479
Sri Guru Granth Sahib World University,sri guru granth sahib world university,Private,Punjab,140406,2008,76.4241,30.6117
Sri Konda Laxman Telangana State Horticultural University,sri konda laxman telangana state horticultural university,State,Telangana,500030,2014,78.3941,17.3353
Sri Krishnadevaraya University,sri krishnadevaraya university,State,Andhra Pradesh,515003,1981,77.4755,14.6789
Sri Padmavati Mahila Vishwavidyalayam,sri padmavati mahila vishwavidyalayam,State,Andhra Pradesh,517502,1983,79.4003,13.6025
Sri Ramachandra Medical College And Research Institute,sri ramachandra medical college and research institute,Deemed,Tamil Nadu,600116,1994,80.1568,13.0196
Sri Sai University,sri sai university,Private,Himachal Pradesh,176081,2011,76.6257,31.966
Sri Sathya Sai Institute Of Higher Learning,sri sathya sai institute of higher learning,Deemed,Andhra Pradesh,515134,1981,77.8076,14.1216
Sri Satya Sai University of Technology & Medical Sciences,sri satya sai university of technology & medical sciences,Private,Madhya Pradesh,466001,2014,77.1176,23.1971
Sri Siddhartha Academy Of Higher Education,sri siddhartha academy of higher education,Deemed,Karnataka,572107,2008,77.0371,13.3513
Sri Sri University,sri sri university,Private,Odisha,754006,2009,85.7503,20.4225
Sri Venkateswara Institute Of Medical Sciences,sri venkateswara institute of medical sciences,State,Andhra Pradesh,517507,1993,78.5814,13.4033
Sri Venkateswara University,sri venkateswara university,State,Andhra Pradesh,517507,1954,78.5694,13.4033
Sri Venkateswara Vedic University,sri venkateswara vedic university,State,Andhra Pradesh,517502,2006,79.4063,13.6025
Sri Venkateswara Veterinary University,sri venkateswara veterinary university,State,Andhra Pradesh,517502,2005,79.3943,13.6025
Srimanta Sankaradeva University of Health Sciences,srimanta sankaradeva university of health sciences,State,Assam,781032,2007,91.7632,26.1632
Srinivas University,srinivas university,Private,Karnataka,574146,2015,74.8137,13.0481
SRM Institute Of Science And Technology,srm institute of science and technology,Deemed,Tamil Nadu,603203,2002,80.0197,12.8558
SRM University,srm university,Private,Haryana,131029,2013,77.0867,28.9141
St Peter�S Institute Of Higher Education And Research,st peter�s institute of higher education and research,Deemed,Tamil Nadu,600054,2008,80.1044,13.132
State University of Performing and Visual Arts,state university of performing and visual arts,State,Haryana,124001,2014,76.5652,28.8984
Sumandeep Vidyapeeth,sumandeep vidyapeeth,Deemed,Gujarat,391760,2007,73.3933,22.3433
Sunrise University,sunrise university,Private,Rajasthan,301030,2011,76.692,27.5004
Suresh Gyan Vihar University,suresh gyan vihar university,Private,Rajasthan,302017,2008,75.8096,26.8592
Swami Rama Himalayan University,swami rama himalayan university,Private,Uttarakhand,248016,2013,78.1681,30.1973
Swami Ramanand Teerth Marathwada University,swami ramanand teerth marathwada university,State,Maharashtra,431606,1995,77.269,19.0887
Swami Vivekanand Subharti University,swami vivekanand subharti university,Private,Uttar Pradesh,250005,2008,77.6366,28.9598
Swami Vivekananda University,swami vivekananda university,Private,Madhya Pradesh,470228,2011,78.9323,23.67
Swami Vivekananda Yoga Anusandhana Samsthana,swami vivekananda yoga anusandhana samsthana,Deemed,Karnataka,560018,2002,77.5624,12.958
Swarnim Gujarat Sports University,swarnim gujarat sports university,State,Gujarat,382021,2011,72.6736,23.2245
Symbiosis International University,symbiosis international university,Deemed,Maharashtra,411004,2002,73.8279,18.5106
T M Bhagalpur University,tm bhagalpur university,State,Bihar,812007,1960,86.9536,25.2451
Tamil Nadu Open University,tamil nadu open university,State,Tamil Nadu,600025,2004,80.2423,13.011
Tamil Nadu Teacher Education University,tamil nadu teacher education university,State,Tamil Nadu,600005,2008,80.2801,13.055
Tamil University,tamil university,State,Tamil Nadu,613005,1981,79.088,10.7416
Tamilnadu Agricultural University,tamilnadu agricultural university,State,Tamil Nadu,641003,1971,76.936,11.0119
Tamilnadu Dr Ambedkar Law University,tamil nadu dr ambedkar law university,State,Tamil Nadu,600028,1998,80.266,13.0216
Tamilnadu Dr Mgr Medical University,tamil nadu dr mgr medical university,State,Tamil Nadu,600032,1989,80.213,13.0145
Tamilnadu Fisheries University,tamil nadu fisheries university,State,Tamil Nadu,611001,2012,79.8268,10.755
Tamilnadu Music And Fine Arts University,tamilnadu music and fine arts university,State,Tamil Nadu,600028,2013,80.272,13.0216
Tamilnadu National Law School,tamilnadu national law school,State,Tamil Nadu,620009,2012,78.5682,10.7133
Tamilnadu Physical Education And Sports University,tamilnadu physical education and sports university,State,Tamil Nadu,600006,2005,80.2514,13.0625
Tamilnadu Veterinary & Animal Sciences University,tamilnadu veterinary & animal sciences university,State,Tamil Nadu,600051,1990,80.2356,13.1465
Tantia University,tantia university,Private,Rajasthan,335002,2013,73.7209,29.7585
Tata Institute Of Fundamental Research,tata institute of fundamental research,Deemed,Maharashtra,400005,2002,72.8177,18.9123
Tata Institute Of Social Sciences,tata institute of social sciences,Deemed,Maharashtra,400088,1964,72.9476,19.0517
Team Lease Skills University,team lease skills university,Private,Gujarat,390009,2013,73.212,22.2598
Techno Global University,techno global university,Private,Madhya Pradesh,464228,2013,91.9132,25.6164
Techno Global University,techno global university,Private,Meghalaya,793022,2008,77.653,24.1724
Techno India University,techno india university,Private,West Bengal,700091,2012,88.4317,22.5814
Teerthanker Mahaveer University,teerthanker mahaveer university,Private,Uttar Pradesh,244102,2008,78.6351,28.7933
Telangana University,telangana university,State,Telangana,503002,2006,78.1389,18.6405
Teri School Of Advanced Studies,teri school of advanced studies,Deemed,Delhi,110003,1999,77.2256,28.5914
Tezpur University,tezpur university,Central,Assam,784028,1994,92.827,26.6989
The Assam Kaziranga University,the assam kaziranga university,Private,Assam,785006,2012,94.1136,26.7326
The English And Foreign Languages University,the english and foreign languages university,Central,Telangana,500007,1958,78.5425,17.4148
The Global Open University,the global open university,Private,Nagaland,797111,2006,94.2791,26.1544
The Glocal University,the glocal university,Private,Uttar Pradesh,247001,2012,77.5941,30.0021
The Indira Gandhi National Tribal University,the indira gandhi national tribal university,Central,Madhya Pradesh,795001,2008,81.7506,22.8036
The Indira Gandhi Technological & Medical Sciences University,the indira gandhi technological & medical sciences university,Private,Arunachal Pradesh,791120,2012,94.1048,27.7765
The Institute Of Chartered Financial Analysts Of India,the institute of chartered financial analysts of india,Private,Nagaland,797112,2009,93.6902,25.7686
The Institute Of Chartered Financial Analysts Of India University,the institute of chartered financial analysts of india university,Private,Jharkhand,834202,2008,92.7368,23.7798
The Institute Of Chartered Financial Analysts Of India University,the institute of chartered financial analysts of india university,Private,Mizoram,796025,2006,90.1908,25.4695
The Institute Of Chartered Financial Analysts Of India University,the institute of chartered financial analysts of india university,Private,Meghalaya,794001,2009,88.6127,27.3362
The Institute Of Chartered Financial Analysts Of India University,the institute of chartered financial analysts of india university,Private,Sikkim,737101,2004,85.2361,23.3735
The Neotia University,the neotia university,Private,West Bengal,743368,2015,88.3524,22.1203
The Rajiv Gandhi National University of Law,the rajiv gandhi national university of law,State,Punjab,147001,2006,76.3418,30.3534
The Rashtrasant Tukadoji Maharaj Nagpur University,rashtrasant tukadoji maharaj nagpur university,State,Maharashtra,440001,1923,79.0704,21.1555
The West Bengal National University of Juridical Science,the west bengal national university of juridical science,State,West Bengal,700098,2004,88.4083,22.568
The West Bengal University of Health Sciences,the west bengal university of health sciences,State,West Bengal,700064,2002,88.4175,22.5941
Thiruvalluvar University,thiruvalluvar university,State,Tamil Nadu,632004,2003,79.1317,12.9042
Thopar Institute Of Engineering & Technology,thopar institute of engineering & technology,Deemed,Punjab,147004,1985,76.5033,30.3633
Thunchath Ezhuthachan Malayalam University,thunchath ezhuthachan malayalam university,State,Kerala,676107,2013,75.9128,10.9215
Tilak Maharashtra Vidyapeeth,tilak maharashtra vidyapeeth,Deemed,Maharashtra,411037,1987,73.8664,18.4776
Tripura University,tripura university,Central,Tripura,799130,1987,91.2673,23.735
Tumkur University,tumkur university,State,Karnataka,572101,2004,77.0771,13.3587
Uka Tarsadia University,uka tarsadia university,Private,Gujarat,394350,2011,73.1317,21.0672
University of Agricultural Sciences,university of agricultural sciences,State,Karnataka,560065,1964,77.597,13.0836
University of Agricultural Sciences,university of agricultural sciences,State,Karnataka,580005,1986,74.9978,15.5154
University of Allahabad,university of allahabad,Central,Uttar Pradesh,211002,1887,81.8566,25.4623
University of Engineering & Management,university of engineering & management,Private,Rajasthan,303807,2012,75.7097,27.2361
University of Engineering and Management,university of engineering and management,Private,West Bengal,700135,2015,88.5409,22.5934
University of Horticultural Sciences,university of horticultural sciences,State,Karnataka,587104,2008,16.16378,75.61496
University of Kota,university of kota,State,Rajasthan,324005,2003,75.8413,25.1376
University of Patanjali,university of patanjali,Private,Uttarakhand,249405,2006,85.3298,23.3504
University of Petroleum and Energy Studies,university of petroleum and energy studies,Private,Uttarakhand,284007,2003,77.9681,30.4172
University of Science & Technology,university of science & technology,Private,Meghalaya,793003,2008,91.9104,25.58
University of Technology & Management,university of technology & management,Private,Meghalaya,793001,2011,91.8905,25.5732
UP King George�s University of Dental Science,up king george�s university of dental science,State,Uttar Pradesh,226003,2004,80.8929,26.8727
Up Rajarshi Tandon Open University,up rajarshi tandon open university,State,Uttar Pradesh,211001,2004,81.8403,25.4441
Utkal University,utkal university,State,Odisha,751004,1943,85.8394,20.3025
Utkal University of Culture,utkal university of culture,State,Odisha,751009,1999,85.8386,20.2618
Uttar Banga Krishi Vishwavidyalaya,uttar banga krishi vishwavidyalaya,State,West Bengal,736165,2001,89.3752,26.4058
Uttar Pradesh Pandit Deen Dayal Upadhyaya Pashu Chikitsa Vigyan Vishwavidyalaya Evam Go- Anusandhan Sansthan,uttar pradesh pandit deen dayal upadhyaya pashu chikitsa vigyan vishwavidyalaya evam go- anusandhan sansthan,State,Uttar Pradesh,281001,2001,77.8172,27.6648
Uttar Pradesh Technical University,uttar pradesh technical university,State,Uttar Pradesh,226021,2001,80.9468,26.9299
Uttar Pradesh Viklang Uddhar Dr Shakuntala Misra National Rehabilitation University,uttar pradesh viklang uddhar dr shakuntala misra national rehabilitation university,State,Uttar Pradesh,226017,2008,80.8676,26.839
Uttarakhand Ayurved University,uttarakhand ayurved university,State,Uttarakhand,248009,2009,78.0649,30.4093
Uttarakhand Open University,uttarakhand open university,State,Uttarakhand,263139,2005,79.4325,29.194
Uttarakhand Sanskrit University,uttarakhand sanskrit university,State,Uttarakhand,249401,2005,78.1347,29.9353
Uttarakhand University of Horticulture & Forestry,uttarakhand university of horticulture & forestry,State,Uttarakhand,246123,2011,78.939,30.0644
Uttaranchal University,uttaranchal university,Private,Uttarakhand,248007,2013,77.9356,30.3909
Uttrakhand Technical University,uttrakhand technical university,State,Uttarakhand,248007,2008,77.9416,30.3909
Vardhman Mahaveer Open University,vardhman mahaveer open university,State,Rajasthan,324010,1987,75.8107,25.1397
Veer Bahadur Singh Purvanchal University,veer bahadur singh purvanchal university,State,Uttar Pradesh,222002,1987,82.5852,25.7589
Veer Kunwar Singh University,veer kunwar singh university,State,Bihar,802301,1994,84.6701,25.5577
Veer Narmad South Gujarat University,veer narmad south gujarat university,State,Gujarat,395007,1965,72.7633,21.0987
Veer Surendra Sai University of Technology,veer surendra sai university of technology,State,Odisha,768018,2009,83.9134,21.4858
Vel Tech Rangarajan Dr Sagunthala R & D Institute Of Science And Technology,vel tech rangarajan dr sagunthala r & d institute of science and technology,Deemed,Tamil Nadu,600062,2008,80.1199,13.1699
Vellore Institute Of Technology,vellore institute of technology,Deemed,Tamil Nadu,632014,2001,79.1617,12.9815
Vels Institute Of Science Technology & Advanced Studies (Vistas),vels institute of science technology & advanced studies (vistas),Deemed,Tamil Nadu,600117,2008,80.1682,12.9437
Venkateshwara Open University,venkateshwara open university,Private,Arunachal Pradesh,791111,2012,93.6528,27.1078
Vesveswaraiah Technological University,vesveswaraiah technological university,State,Karnataka,590010,1999,74.5905,15.9136
Vidya Sagar University,vidya sagar university,State,West Bengal,721102,1981,87.2081,22.4458
Vignan'S Foundation For Science Technology And Research,vignan's foundation for science technology and research,Deemed,Andhra Pradesh,522213,2008,80.5608,16.2599
Vijayanagara Sri Krishnadevaraya University,vijayanagara sri krishnadevaraya university,State,Karnataka,583104,2010,76.9614,15.0851
Vikram Simhapuri University,vikram simhapuri university,State,Andhra Pradesh,524003,2008,79.9912,14.4316
Vikram University,vikram university,State,Madhya Pradesh,456010,1957,75.8422,23.165
Vinayaka Mission�S Research Foundation,vinayaka missions research foundation,Deemed,Tamil Nadu,636308,2001,78.0755,11.5301
Vinayaka Missions Sikkim University,vinayaka missions sikkim university,Private,Sikkim,737102,2008,88.5972,27.3187
Vinoba Bhave University,vinoba bhave university,State,Jharkhand,825301,1993,85.3834,23.9328
Vishwa Bharati University,vishwa bharati university,Central,West Bengal,731235,1951,87.6348,23.7634
Vivekananda Global University,vivekananda global university,Private,Rajasthan,303012,2012,75.9822,26.9118
West Bengal State University,west bengal state university,State,West Bengal,700124,2007,88.8631,22.9155
West Bengal University of Animal and Fishery,west bengal university of animal and fishery,State,West Bengal,700037,1995,88.3873,22.6091
William Carey University,william carey university,Private,Meghalaya,793001,2005,91.8785,25.5732
Xavier University,xavier university,Private,Odisha,751013,2013,85.8221,20.3043
Yashwant Rao Chavan Maharashtra Open University,yashwant rao chavan maharashtra open university,State,Maharashtra,422222,1990,73.908,20.0067
Yenepoya University,yenepoya university,Deemed,Karnataka,575018,2008,74.9322,12.7832
YMCA University of Science & Technology,ymca university of science & technology,State,Haryana,121006,2009,77.342,28.3676
Yogi Vemana University,yogi vemana university,State,Andhra Pradesh,516003,2006,78.7872,14.4795
