name,university,Uni Classification,State,Pin Code,Year of Formation,longitude,latitude
Central University Of Jammu,central university of jammu,Central,Jammu & Kashmir,180012,2009,74.9159,32.7194
Central University Of Jharkhand,central university of jharkhand,Central,Jharkhand,835205,2009,85.1451,23.467
Central University Of Karnataka,central university of karnataka,Central,Karnataka,585311,2009,76.6936,17.5514
Central University Of Kashmir,central university of kashmir,Central,Jammu & Kashmir,190004,2009,74.8417,34.059
Central University Of Kerala,central university of kerala,Central,Kerala,695017,2009,76.9196,8.5482
Central University Of Odisha,central university of odisha,Central,Odisha,763001,2009,82.794,18.7461
Central University Of Punjab,central university of punjab,Central,Punjab,151001,2009,74.8979,30.1455
Central University Of Rajasthan,central university of rajasthan,Central,Rajasthan,302005,2009,75.8023,26.8957
Central University Of South Bihar,central university of south bihar,Central,Bihar,800014,2009,85.0857,25.5955
Central University Of Tamil Nadu,central university of tamil nadu,Central,Tamil Nadu,610001,2009,79.6693,10.7901
Centre For Environmental Planning And Technology,centre for environmental planning and technology,State,Gujarat,380009,2005,72.5602,23.037
Centurion University of Technology and Management,centurion university of technology and management,Private,Odisha,761211,2010,84.1721,18.851
Chanakya National Law University,chanakya national law university,State,Bihar,800001,2006,85.1397,25.6111
Chandigarh University,chandigarh university,Private,Punjab,140413,2012,76.5481,30.7642
Chandra Shekhar Azad University of Agriculture & Technology,chandra shekhar azad university of agriculture & technology,State,Uttar Pradesh,208002,1974,80.3018,26.4981
Charotar University of Science & Technology,charotar university of science & technology,Private,Gujarat,388421,2009,72.8075,22.5991
Chatrapati Sahuji Maharaj Kanpur University,chatrapati sahuji maharaj kanpur university,State,Uttar Pradesh,208024,1965,80.2726,26.4996
Chaudhary Bansi Lal University,chaudhary bansi lal university,State,Haryana,127021,2014,76.128,28.7362
Chaudhary Charan Singh Haryana Agricultural University,chaudhary charan singh haryana agricultural university,State,Haryana,125004,1970,74.9693,29.472
Chaudhary Devi Lal University,chaudhary devi lal university,State,Haryana,125055,2003,76.3539,29.3952
Chaudhary Ranbir Singh University,chaudhary ranbir singh university,State,Haryana,126102,2014,76.5446,32.1026
Chaudhary Sarwan Kumar Himachal Pradesh,chaudhary sarwan kumar himachal pradesh,State,Himachal Pradesh,176062,1978,80.1989,12.7598
Chennai Mathematical Institute,chennai mathematical institute,Deemed,Tamil Nadu,603103,2006,80.2049,12.7598
Chettinad Academy Of Research And Education (CARE),chettinad academy of research and education,Deemed,Tamil Nadu,603103,2008,81.2221,21.274
Chhattisgarh Kamdhenu Vishwavidyalaya,chhattisgarh kamdhenu vishwavidyalaya,State,Chhattisgarh,491001,2011,81.3369,21.1881
Chhattisgarh Swami Vivekanand Technical University,chhattisgarh swami vivekanand technical university,State,Chhattisgarh,490009,2004,72.6686,23.2247
Children�S University,children�s university,State,Gujarat,382020,2009,76.8627,30.9013
Chitkara University,chitkara university,Private,Punjab,140401,2010,76.5741,30.495
Chitkara University,chitkara university,Private,Himachal Pradesh,174103,2009,75.6714,29.1196
Choudhary Charan Singh University,choudhary charan singh university,State,Uttar Pradesh,200005,1965,77.74,28.968
Christ University,christ university,Deemed,Karnataka,560029,2008,77.6064,12.9268
CMJ University,cmj university,Private,Meghalaya,793003,2009,91.9044,25.58
CMR University,cmr university,Private,Karnataka,560043,2013,77.6582,13.0366
Cochin University of Science & Technology,cochin university of science & technology,State,Kerala,682022,1971,76.2747,9.9785
Cooch Behar Panchanan Barma University,cooch behar panchanan barma university,State,West Bengal,736101,2012,89.4627,26.3087
Cotton College State University,cotton college state university,State,Assam,781001,2011,91.7419,26.1863
Cu Shah University,cu shah university,Private,Gujarat,363030,2013,71.6894,22.7348
Damodaram Sanjivayya National Law University,damodaram sanjivayya national law university,State,Andhra Pradesh,530017,2008,83.3368,17.7339
Datta Meghe Institute Of Medical Sciences,datta meghe institute of medical sciences,Deemed,Maharashtra,440022,2005,79.0495,21.1161
Dav University,dav university,Private,Punjab,144001,2013,75.5669,31.3043
Davangere University,davangere university,State,Karnataka,577002,2009,75.9125,14.3826
Dayalbagh Educational Institute,dayalbagh educational institute,Deemed,Uttar Pradesh,282005,1981,78.0067,27.2403
Dayanand Sagar University,dayanand sagar university,Private,Karnataka,560078,2014,77.5816,12.9042
Deccan College Postgraduate & Research Institute,deccan college postgraduate & research institute,Deemed,Maharashtra,411006,1990,73.8969,18.5509
Deen Bandhu Chhotu Ram University of Science & Technology,deen bandhu chhotu ram university of science & technology,State,Haryana,131039,2006,83.3865,26.7459
Deen Dayal Upadhyay Gorakhpur University,deen dayal upadhyay gorakhpur university,State,Uttar Pradesh,273009,1957,77.0549,29.0714
Delhi Technological University,delhi technological university,State,Delhi,110042,2009,77.1458,28.7535
Delhi University,delhi university,Central,Delhi,110007,1922,77.1994,28.6768
Desh Bhagat University,desh bhagat university,Private,Punjab,147301,2013,76.2926,30.6428
Dev Sanskrit Vishwavidyalaya,dev sanskrit vishwavidyalaya,Private,Uttarakhand,249411,2002,78.1606,30.0249
Devi Ahilya Vishwavidyalaya,devi ahilya vishwavidyalaya,State,Madhya Pradesh,452001,1964,75.8772,22.7093
Dharmsinh Desai University,dharmsinh desai university,State,Gujarat,387001,2000,72.8666,22.6931
Dhirubhai Ambani Institute Of Information And Communication,dhirubhai ambani institute of information and communication,Private,Gujarat,382007,2003,72.6339,23.1649
Dibrugarh University,dibrugarh university,State,Assam,786004,1965,94.8473,27.4225
DIT University,dit university,Private,Uttarakhand,248009,2013,78.0709,30.4093
Doon University,doon university,State,Uttarakhand,248001,2005,78.0297,30.3442
Dr Babasaheb Ambedkar Marathwada University,dr babasaheb ambedkar marathwada university,State,Maharashtra,431004,1958,72.5142,23.1438
Dr Babasaheb Ambedkar Open University,dr babasaheb ambedkar open university,State,Gujarat,380060,1995,75.3174,19.9075
