osmid,name,area,distance,water,university,centroid_long,centroid_lat
11247469,Edulabad Lake,1875748.3641125518,33847.25986469645,pond,Acharya Ng Ranga Agricultural University,78.69800273074537,17.42462371475225
11339483,Jhangh Lake,980680.8123638406,14018.04427342335,lake,Ayush And Health Science University,81.77060138946555,21.14702451331039
11568854,,1650786.980356797,45765.45116185974,reservoir,Amrita Vishwa Vidyapeetham,76.78892680968183,10.440862530413861
11821216,,2126022.377663109,98422.60666741012,reservoir,Amity University,82.64731384614238,20.79972019083386
12889052,,1392667.0384574034,54939.21943329308,reservoir,Amrita Vishwa Vidyapeetham,76.91977445081922,10.338503160156602
15009693,Bhomra Bil,1105691.5555994331,33200.18876089666,basin,Adamas University,88.63784784798585,22.97801173159722
16179862,Mamandur Eri,12725099.8526565,63546.895700699955,reservoir,Academy Of Maritime Education And Training,79.64760035037135,12.75153683073989
16205360,,2005823.7796835299,76865.54014953297,reservoir,Amrita Vishwa Vidyapeetham,77.60629910177927,10.707556956395884
16288976,Ban Sagar Lake,296463233.4957706,46613.07091481066,lake,AKS University,81.0500041553681,24.085546734062092
22824920,Khadakwasla Reservoir,9871263.576431157,48426.05745494461,reservoir,Ajeenkya D Y Patil University,73.7315850230032,18.414891765342958
24711461,Ukkadam Lake,1271579.575790766,4261.0014674287695,lake,Avinashilingam Institute For Home Science & Higher Education For Women,76.95504763291736,10.982485510361032
25391800,Ambattur Lake,1606383.5542421697,14618.58495002173,reservoir,Anna University,80.14298557577911,13.106404886214507
25394157,Red Hills Reservoir,19313309.193416577,18224.387292914846,reservoir,Anna University,80.17080194031588,13.162758807034846
25394523,Sholavaram Lake,6148573.632628919,25446.31035174072,reservoir,Anna University,80.14304744123292,13.222146140532635
25453624,Chembarambakkam Lake,19872359.218939323,19611.987191725497,reservoir,Anna University,80.05548059270596,13.00825408428371
25474612,Korattur Lake,1956296.6133445143,13740.173181988972,lake,Anna University,80.18146923602292,13.123006166611198
25474749,Retteri Lake,942920.2703123774,14809.133838194966,reservoir,Anna University,80.2119529497725,13.142758011295316
25921389,Somangalam Lake,926649.8002509003,23765.922919341745,reservoir,Anna University,80.02759974640603,12.945535373257233
28043727,Varthur Lake,1593162.4541612489,13286.539509912274,lake,Azim Premji University,77.73603657296877,12.947165648532879
28130557,Osman Sagar,18028077.18903953,11785.775707871197,lake,Acharya Ng Ranga Agricultural University,78.29200726453907,17.378150014568536
29894997,Kurichi Kulam,1288804.5975641161,6113.885411956625,pond,Avinashilingam Institute For Home Science & Higher Education For Women,76.96361560527129,10.966412348986111
30078793,Kovilpadagai Lake,1005506.5679596218,21304.38899904215,reservoir,Anna University,80.09702984599373,13.146892869529864
30425149,,954297.6582992318,10303.3631635842,reservoir,Academy Of Maritime Education And Training,80.1388419711918,12.777414242499306
30425246,Agaram Lake,2714848.3419700027,15618.966322852237,reservoir,Academy Of Maritime Education And Training,80.08894995233481,12.76126274239434
30425446,,1629213.3483748294,5570.937633091638,reservoir,Academy Of Maritime Education And Training,80.1834446950336,12.778009324730025
31252968,,4574526.619691039,26082.198883117715,reservoir,Anna University,80.00106184666015,13.060177040010117
34107335,Sandynulla Lake,2186720.0490066996,56061.24110661316,lake,Avinashilingam Institute For Home Science & Higher Education For Women,76.65157845142639,11.429832622385542
34107338,Siruvani Reservoir,1762478.9201554714,32821.214880973755,reservoir,Amrita Vishwa Vidyapeetham,76.64736694076315,10.968130076039163
34107822,,1547751.8317695805,70586.68628645324,lake,Azim Premji University,78.23709794979885,12.55097641240968
34107825,,2321308.4403911014,91587.33397336233,reservoir,Alliance University,78.31552051201395,12.313373980122249
34108030,Marakkanam Lake,23105281.117854007,66311.407217614,lake,Academy Of Maritime Education And Training,79.95630077761302,12.229698197801932
34108724,,1206012.3922919482,49026.56076270981,reservoir,Academy Of Maritime Education And Training,79.78632508834674,12.831259777737301
34108726,Nathapettai Yeri,955335.7886982613,54165.93794298354,lake,Academy Of Maritime Education And Training,79.7382318535587,12.82944263272511
34108765,SriPerumpudur lake,2759917.8358208877,33106.57099101013,reservoir,Anna University,79.93432863597239,12.967285180246199
34108767,,963381.0439971077,31404.861934512497,reservoir,Anna University,79.9682103460592,12.90378984011975
41662641,,874971.0916763776,45204.59177337802,pond,Azim Premji University,77.5271936342932,13.236082711873145
41662659,Hesaraghatta Lake,5381313.69212106,39427.66989226069,reservoir,Azim Premji University,77.49194990815423,13.164105368537838
41667624,Bettakote Lake,1488655.7516252836,40702.93563636582,lake,Azim Premji University,77.72544425768218,13.212973643350507
41667648,Nagadasanahalli Lake,909196.7145467392,35896.14125711154,lake,Azim Premji University,77.57178028299572,13.161767864638275
41667728,Hosakote lake,7642900.298858155,28608.219188621155,lake,Azim Premji University,77.76662279551329,13.088231687218817
41853696,Dhimbhe Dam,15585118.372033663,64770.140805089846,reservoir,Amity University,73.71308584440006,19.116796375802465
41853747,Vadaj Reservoir,4814750.658326497,68804.12642476657,reservoir,Ajeenkya D Y Patil University,73.84171517689221,19.166093500937748
44394968,Karang Tuwi,3186248.901889776,68158.13078259608,lake,Arunachal University of Studies,96.69828851906239,28.516154599755108
44717016,Shahneher,3380605.299615059,24869.04511893256,reservoir,Arni University,75.91328809507982,31.958075439712466
47572610,,1005764.824780723,15977.600136997598,reservoir,Anna University,80.15016557450556,12.893807727403706
51766199,,1186709.2849763213,1853.5560978476544,lake,Aliah University,88.42821245737726,22.564822964219776
51766281,,962693.0213595378,4436.279523587767,lake,Aliah University,88.43541028081728,22.54236182621963
51815976,Aliyar Reservoir,6262875.171677647,40591.24508590722,reservoir,Amrita Vishwa Vidyapeetham,76.97452531973187,10.472833261016449
51815979,,3415283.6755738007,47944.74798019908,reservoir,Amrita Vishwa Vidyapeetham,77.15944135985016,10.475004340021846
51815983,,3712194.323839395,81018.85174010828,reservoir,Amrita Vishwa Vidyapeetham,77.48794185597468,10.370721542820423
51816759,Mangalam Dam,2907532.6295858645,55149.64561354818,reservoir,Amrita Vishwa Vidyapeetham,76.53711958601873,10.505935773545104
51829930,,1029365.4007346446,45501.21906240073,reservoir,Alliance University,77.92213742702272,12.493367413357145
52014012,Fox Sagar,1256380.5822268636,22634.55591902039,pond,Acharya Ng Ranga Agricultural University,78.46944319748275,17.526367693688865
53555667,,1283254.4299908192,52510.225366178434,lake,Azim Premji University,77.71958541951842,13.321469030873258
57047323,,1439975.8602746795,56443.24440223834,pond,Azim Premji University,77.99537970725314,13.243007047988899
58680339,Tawa Reservoir,37970866.62692234,73757.68770684036,reservoir,Aisect University,78.09909862125663,22.565311432334163
58942852,,4609344.1570181595,86749.61648976714,reservoir,Awadesh Pratap Singh University,80.78675613142607,25.167338552313026
58943275,Kodar Reservoir,10626033.484413425,36340.873165854835,reservoir,Amity University,82.21280827985775,21.185382777581065
59683635,Orathupalayam Reservoir,3921126.551311555,63146.710729011946,reservoir,Avinashilingam Institute For Home Science & Higher Education For Women,77.52604287698924,11.106923019790104
59683639,,926078.749329472,77446.53973511873,reservoir,Avinashilingam Institute For Home Science & Higher Education For Women,77.51472695201313,11.450451056109456
59683890,,3016787.162870543,77153.49699246408,reservoir,Annamalai University,79.19127813829024,10.987303020204823
82611270,Veeranam Lake,23495507.576351576,25547.307840117093,lake,Annamalai University,79.53285609302863,11.331522070803818
84087731,Koovam Eri,4030133.228020316,45575.291255862125,reservoir,Anna University,79.8160646232811,13.01081770751993
84106295,,1450959.8650148832,8390.262424967455,lake,Anna University,80.22540257947057,12.935892151662204
92001285,Meghadri Reservoir,7325989.4917393355,16276.3880411499,reservoir,Andhra University,83.18146201064765,17.777339439651524
97868797,Mavatturu Kere,3462624.457800563,73884.9839442076,reservoir,Azim Premji University,77.3370077586298,13.435957327925658
102302994,,830617.1453785285,25566.143312060492,reservoir,Academy Of Maritime Education And Training,80.02617694641522,12.875214329741507
102303002,ADHANOOR LAKE,1136395.9060835517,23078.255484606078,reservoir,Academy Of Maritime Education And Training,80.04727118558637,12.866156471761261
112938102,Pariag Reservoir,4504308.505719122,37755.66281682514,reservoir,Anand Agricultural University,72.61641802595832,22.551127340258954
113676407,Chandsen Dam,1101982.3625752889,48335.43381140012,reservoir,Amity University,75.45155780648311,26.342395088083155
114510110,Maroda-2 Reservoir,6791879.10643768,26751.532604411765,reservoir,Ayush And Health Science University,81.37807605624256,21.155708074049155
114510158,Maroda-1 Reservoir,2065761.5082367652,28248.051355176616,reservoir,Ayush And Health Science University,81.36475816957453,21.17236050254169
115702044,Ibrahimpatnam Cheruvu,1633808.5773295534,29471.056633679415,lake,Acharya Ng Ranga Agricultural University,78.62775492664602,17.193322337543673
115707377,Suravaram Lake,802174.0620226574,66565.71778741332,lake,Acharya Nagarjuna University,80.56693537126915,17.05850881473033
115707378,Gonelavagu Reservoir,1933167.768194782,76366.6081792572,reservoir,Acharya Nagarjuna University,80.96131127394489,17.020159368254713
115707397,Tammileru Reservoir,5509377.073974662,73558.04354897056,reservoir,Acharya Nagarjuna University,80.92287028296843,17.01462856327964
115769453,Pedda Vagu Reservoir,2673053.0955180083,85589.54291779977,reservoir,Adikavi Nannaya University,81.16327247893501,17.41789282259894
115772000,Ameenpur Lake,1267115.054860201,21754.349004007894,lake,Acharya Ng Ranga Agricultural University,78.33316159661338,17.52311765061622
115877852,Konam Reservoir,1989165.6450262791,57399.18207685602,reservoir,Andhra University,82.85275856274833,17.97711475591832
115877854,Andra Reservoir,3372675.8848882006,70083.16554562845,reservoir,Andhra University,83.18705107052796,18.3384628982169
115877871,Raiwada Reservoir,9204369.35192843,49601.44144530986,reservoir,Andhra University,82.97849347367412,18.022817435948348
116300100,Bhavanasi,1857195.7991133244,90794.49107199235,pond,Acharya Nagarjuna University,79.96179921010477,15.862153459906297
117554807,,998216.0577992405,66814.25646317312,lake,Anna University,79.7017825787197,13.311904478554894
117580330,Hebbakka Kere,1332279.9157863127,89106.79584292631,lake,Azim Premji University,77.07692950614727,13.413644985909466
117698592,,1004023.4638474466,56132.86761988559,reservoir,Academy Of Maritime Education And Training,79.73606008568686,12.623748595570419
117698597,,935713.1154781127,65053.0251432699,lake,Annamalai University,79.4243872765134,11.901635800827524
117698611,,1265931.6951570062,56744.97567209161,reservoir,Academy Of Maritime Education And Training,79.73769519022676,12.60013688231717
117698614,,927400.800532707,62371.38738481895,reservoir,Annamalai University,79.33780401358877,11.798637093162304
117698660,,1275350.5602883673,58856.253656293935,reservoir,Academy Of Maritime Education And Training,79.95565217662902,12.306952881398589
117698716,Bahour Lake,3977257.657169956,45764.64948385809,lake,Annamalai University,79.73777540732438,11.82411751562604
117699389,Perumal Tank,8622555.832336005,19872.58760524334,lake,Annamalai University,79.66827609662649,11.569767384634266
117699391,Wellington Lake,15716289.74167697,73089.17940327429,reservoir,Annamalai University,79.08336298165034,11.431255443573603
117765856,Tandava Reservoir,5796811.331327772,97635.72246741742,reservoir,Adikavi Nannaya University,82.45826372509237,17.634475176277498
121060371,Kopili reservoir,18287137.978068363,77652.59501779033,reservoir,Assam University,92.69667670923671,25.50422341608028
131550395,,924698.8549726544,66900.2007353062,pond,Azim Premji University,77.51655715493828,13.43718290900514
132558351,Ottu reservoir,2858436.28866025,77749.69815331999,reservoir,Adesh University,74.90568597836992,29.500199570193452
132610001,Asan Sanctuary,1240371.8496415366,82670.04629227298,reservoir,APG (Alakh Prakash Goyal) University,77.67453327923872,30.434910787532306
137356318,Malharsagar,2185987.480921686,34806.24337707508,lake,Ajeenkya D Y Patil University,74.18251995746127,18.3012108836628
138337742,,1162603.9261009204,35256.1349199534,reservoir,Anna University,80.09346140859286,13.297397127121913
138337743,,2214876.0436972077,37729.89220110201,reservoir,Anna University,80.02596428889214,13.282819335486387
138337748,,1066630.4004485072,26989.195162283042,reservoir,Anna University,80.0202520355825,13.132210321890277
145541908,Mathura Bil,1824271.4602675925,22004.68978510659,reservoir,Adamas University,88.48187162131052,22.936802982572043
148250780,Vaiyapuri Tank,951754.7822945318,77916.23607120181,reservoir,Amrita Vishwa Vidyapeetham,77.50972923680573,10.447057963465
156782315,Kazhuveli Eri,72960733.77909967,78079.85955824758,lake,Annamalai University,79.85176033434549,12.109803005336094
156785634,Usteri Lake,6527583.996950274,60140.45194698777,lake,Annamalai University,79.74461918971572,11.954300528755065
164799202,Sathyamoorty Sagar,29041804.540406648,45283.73155599731,reservoir,Anna University,79.85771130961378,13.18397329566332
171201578,madhira lake,934793.2733516021,54825.181541146754,lake,Acharya Nagarjuna University,80.3761408260112,16.92459914290696
176519614,Lake Maduranthakam,6902889.194102948,46951.602283890265,lake,Academy Of Maritime Education And Training,79.87553430158489,12.52517056709614
185081536,,1494776.9490368916,49577.21853536788,reservoir,Academy Of Maritime Education And Training,79.91194104401211,12.445397223373401
186600550,,9124168.951661926,39376.95179772735,reservoir,Amity University,75.24664539853583,26.63017139862961
192052619,,3141811.2735916874,64795.34325964364,reservoir,Amity University,76.21868733502166,26.98098450774371
195347911,Walayar Lake,2513542.5809953194,6907.573035668862,reservoir,Amrita Vishwa Vidyapeetham,76.85334236954634,10.845043917575559
196507985,Tansa Lake,13607441.450695673,69657.01179437565,reservoir,Amity University,73.2655608392224,19.569428661019714
201264854,,800663.4229852483,40795.71130525687,reservoir,Academy Of Maritime Education And Training,79.93178453356037,12.543539367594947
201264855,,1734516.9987977804,42080.8831206188,reservoir,Academy Of Maritime Education And Training,79.92619970804509,12.531557996453854
202529580,RS Mangalam Kanmaai,13246290.229905918,49319.2383105733,reservoir,Alagappa University,78.82500827690792,9.630716128087885
202529581,,3988719.0849987506,51622.06539180198,reservoir,Alagappa University,78.70586052309334,9.619233881469675
207470488,Panshet,13537276.883412765,67600.63207208348,reservoir,Ajeenkya D Y Patil University,73.56167452288304,18.35217318032369
207470490,Temghar,3471482.8416781886,67348.49149771208,reservoir,Ajeenkya D Y Patil University,73.52422336976353,18.45568928983842
215353870,Chaskaman,13547319.674134262,58388.37536327678,reservoir,Ajeenkya D Y Patil University,73.74647635008121,18.984105304275047
225875144,,1150054.6301402226,63539.71849593042,reservoir,Arunodaya University,93.33847057004604,26.677957179501437
228263005,,1210490.584519658,71635.09643808281,reservoir,Assam Down Town University,92.48992677383967,26.344935960410684
228539977,,2377595.8564157854,76313.47019878276,reservoir,Assam Down Town University,92.52925407189514,26.372581200958756
243997054,Gunjavani Reservoir,2717487.684265153,65596.65570212316,reservoir,Ajeenkya D Y Patil University,73.61239353173104,18.301135683378586
259095818,,1121640.936390188,38273.804754403776,reservoir,Alagappa University,78.66159215969955,9.75933107494221
259095823,,1240487.8782022335,39098.904719834856,reservoir,Alagappa University,78.63031921409268,9.76634984561047
259951908,pendravan jalashay,2995639.239669202,7545.227056704551,reservoir,Amity University,81.86886663789163,21.407695305669627
260868551,Veedur dam reservoir,5121813.32466236,76864.32060375957,reservoir,Annamalai University,79.57976422371851,12.084302891193587
261192161,,1680337.2323917823,74806.37713523195,lake,Annamalai University,79.6143245419985,12.073035131634175
264880713,,933062.4850508701,80158.61594092353,lake,Annamalai University,79.19638523549322,11.884226151016634
265035401,,802598.180693506,83101.26586983628,lake,Annamalai University,79.16109669993816,11.884106905451867
265359361,Periya Eri,1005599.7150260777,85650.90714191658,lake,Annamalai University,79.19756164014187,11.958415009754662
265359641,Kattupaiyur lake,1047786.9021660464,80511.17178323797,lake,Annamalai University,79.22285902976449,11.917488101608521
266288180,,1017255.7294563146,54107.6301686029,reservoir,Amity University,73.5520876662343,19.222637420324702
272761821,,1152000.973801172,92967.03684692872,reservoir,AURO University of Hospitality and Management,71.94881307241701,21.68846558331304
305258480,Bhongir Cheruvu,818537.1053036407,54552.506122071114,lake,Acharya Ng Ranga Agricultural University,78.87273932568701,17.511821874367353
325168268,Pedderu Reservoir,1367572.696899665,70350.89393808684,reservoir,Andhra University,82.68609726323663,17.89943349358811
327025461,,912438.7332693698,39024.028884285544,reservoir,Arunodaya University,94.13347521224797,27.1127253596383
348028757,Katgora Baor,1267718.687037027,78897.1306285785,lake,Adamas University,88.93711994182534,23.284550402683532
353780990,,1167715.9810881712,60413.58222694885,lake,Annamalai University,79.3587829227658,11.79455522343752
367594186,Bellandur Lake,3191694.0773489536,9356.247262859844,lake,Azim Premji University,77.66377952597225,12.934819163403626
376637622,,978715.497156527,68687.76417615566,reservoir,Azim Premji University,77.7477151794203,13.465281918230001
376637623,,2102796.9462311915,64295.38273229505,pond,Azim Premji University,77.75114863601543,13.424735612986945
379542880,,921767.7199888867,61103.117797876264,basin,Andhra University,82.7571467205785,17.612740038626402
